rank_data,rank_vibes,player,team,opponent,is_home,proj,proj_vibes,floor,median,ceiling,p_top12,note_data,note_vibes
27,36,Quentin Johnston,LAC,LV,1,9.243,8.504,3.91,8.798,18.08,0.166,"25.2-point implied total against 10th-worst pass defense by EPA last year. They rank 23rd of 32 against the pass in week 1. Projected 6.2 targets, a 19% target share, 0.7 red-zone look, 72% of the snaps. Last week he had 6 targets, a 22% target share and 78% of the snaps. Range 4-18 around a median of 9, 17% shot at a top-12 week.",
28,51,Xavier Worthy,KC,IND,1,9.237,6.935,3.397,8.076,20.139,0.184,"5th-highest implied total (27.0) against a mid-pack pass defense last year. They rank 31st of 32 against the pass in week 1. Projected 5.6 targets, a 19% target share, 72% of the snaps. Last week he had 6 targets, a 24% target share and 77% of the snaps. Range 3-20 around a median of 8, 18% shot at a top-12 week.",
29,37,Carnell Tate,TEN,PHI,1,9.1,8.301,3.656,8.069,18.626,0.168,"2nd-lowest implied total (16.2) against the 7th-best pass defense by EPA last year. They rank 8th of 32 against the pass in week 1. Projected 6.0 targets, a 21% target share, 88% of the snaps. Usage in week 1 is actually fairly predictive. With only one game on the books, Tate's projection leans on his exact usage last week. This will change as he gets more games under his belt. Range 4-19 around a median of 8, 17% shot at a top-12 week. New HC.",
30,43,Jalen Coker,CAR,ATL,0,9.038,7.664,3.75,8.181,18.854,0.164,"23.0-point implied total against a mid-pack pass defense last year. They rank 7th of 32 against the pass in week 1. Projected 6.5 targets, a 19% target share, 76% of the snaps. Last week he had 9 targets, a 26% target share and 84% of the snaps. Range 4-19 around a median of 8, 16% shot at a top-12 week.",
31,45,KC Concepcion,CLE,TB,0,8.954,7.362,3.867,8.094,17.983,0.156,"1st-lowest implied total (16.0) against a mid-pack pass defense last year. They rank 16th of 32 against the pass in week 1. Projected 5.0 targets, a 23% target share, 69% of the snaps. Usage in week 1 is actually fairly predictive. With only one game on the books, Concepcion's projection leans on his exact usage last week. This will change as he gets more games under his belt. Range 4-18 around a median of 8, 16% shot at a top-12 week. New HC.",
32,34,Courtland Sutton,DEN,JAX,1,8.946,8.785,3.813,8.673,18.358,0.167,"23.0-point implied total against a top-3 pass defense by EPA last year. They rank 1st of 32 against the pass in week 1. Projected 6.1 targets, a 19% target share, 0.7 red-zone look, 80% of the snaps. Last week he had 5 targets, an 18% target share and 76% of the snaps. Range 4-18 around a median of 9, 17% shot at a top-12 week.",
33,24,Parker Washington,JAX,DEN,0,8.928,9.351,3.789,7.93,18.513,0.192,"20.5-point implied total against a top-5 pass defense by EPA last year. They rank 10th of 32 against the pass in week 1. Projected 6.2 targets, a 23% target share, 62% of the snaps. Last week he had 6 targets, a 29% target share and 61% of the snaps. Range 4-19 around a median of 8, 19% shot at a top-12 week.",
34,23,Christian Watson,GB,NYJ,0,8.785,9.49,3.81,7.996,17.335,0.158,"24.5-point implied total against the worst pass defense in the league by EPA last year. They rank 5th of 32 against the pass in week 1. Projected 6.8 targets, a 17% target share, 70% of the snaps. Last week he had 8 targets, a 20% target share and 76% of the snaps. Range 4-17 around a median of 8, 16% shot at a top-12 week.",
35,62,Malik Washington,MIA,SF,0,8.624,6.072,3.597,8.264,15.277,0.074,"3rd-lowest implied total (16.5) against 8th-worst pass defense by EPA last year. They rank 12th of 32 against the pass in week 1. Projected 5.9 targets, a 22% target share, 78% of the snaps. Last week he had 8 targets, a 30% target share and 98% of the snaps. Range 4-15 around a median of 8, 7% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom. New HC.",
36,38,Michael Wilson,ARI,SEA,1,8.504,8.267,3.79,7.332,17.534,0.15,"18.5-point implied total against the 6th-best pass defense by EPA last year. They rank 14th of 32 against the pass in week 1. Projected 7.2 targets, a 19% target share, 83% of the snaps. Last week he had 7 targets, a 19% target share and 85% of the snaps. Range 4-18 around a median of 7, 15% shot at a top-12 week.",
37,78,Kalif Raymond,CHI,MIN,1,8.301,5.238,2.681,6.922,18.811,0.168,"5th-highest implied total (27.0) against a top-2 pass defense by EPA last year. They rank 26th of 32 against the pass in week 1. Projected 5.8 targets, a 23% target share, 58% of the snaps. Last week he had 9 targets, a 35% target share and 60% of the snaps. Range 3-19 around a median of 7, 17% shot at a top-12 week. New team.",
38,27,Mike Evans,SF,MIA,1,8.267,9.243,4.016,7.851,16.326,0.112,"Highest implied total (29.0) against 6th-worst pass defense by EPA last year. They rank 30th of 32 against the pass in week 1. Projected 7.4 targets, a 17% target share, 70% of the snaps. Last week he had 7 targets, a 21% target share and 75% of the snaps. Range 4-16 around a median of 8, 11% shot at a top-12 week. New team.",
39,13,Tee Higgins,CIN,HOU,0,8.22,10.566,3.053,7.298,16.992,0.144,"22.0-point implied total against the best pass defense in the league by EPA last year. They rank 27th of 32 against the pass in week 1. Projected 6.3 targets, a 17% target share, 76% of the snaps. Last week he had 6 targets, an 18% target share and 72% of the snaps. Range 3-17 around a median of 7, 14% shot at a top-12 week.",
40,50,Alec Pierce,IND,KC,0,8.185,6.954,3.081,7.012,17.293,0.137,"20.5-point implied total against a mid-pack pass defense last year. They rank 11th of 32 against the pass in week 1. Projected 5.8 targets, an 18% target share, 72% of the snaps. Last week he had 6 targets, a 21% target share and 59% of the snaps. Range 3-17 around a median of 7, 14% shot at a top-12 week.",
41,60,Keenan Allen,IND,KC,0,7.917,6.343,3.103,6.914,17.88,0.13,"20.5-point implied total against a mid-pack pass defense last year. They rank 11th of 32 against the pass in week 1. Projected 6.6 targets, a 21% target share, 61% of the snaps. Last week he had 6 targets, a 21% target share and 67% of the snaps. Range 3-18 around a median of 7, 13% shot at a top-12 week. New team.",
42,15,Rashee Rice,KC,IND,1,7.852,10.46,2.853,6.621,17.506,0.138,"5th-highest implied total (27.0) against a mid-pack pass defense last year. They rank 31st of 32 against the pass in week 1. Projected 5.9 targets, an 11% target share, 0.8 red-zone look, 76% of the snaps. Last week he had 2 targets, an 8% target share and 83% of the snaps. Range 3-18 around a median of 7, 14% shot at a top-12 week.",
