rank_data,rank_vibes,player,team,opponent,is_home,proj,proj_vibes,floor,median,ceiling,p_top12,note_data,note_vibes
55,74,DeMario Douglas,NE,PIT,1,8.308,6.836,2.476,7.648,19.164,0.108,"24.0-point implied total against a mid-pack pass defense last year. 3.9 targets, an 11% target share, a rotational snap count. Range 2-19 around a median of 8, 11% shot at a top-12 week.",
56,41,Brian Thomas Jr.,JAX,DEN,0,8.305,9.997,2.691,7.375,18.787,0.104,"20.2-point implied total against a top-5 pass defense by EPA last year. 6.6 targets, an 18% target share, 63% of the snaps. Range 3-19 around a median of 7, 10% shot at a top-12 week.",
57,28,Chris Godwin Jr.,TB,CLE,1,8.278,10.985,3.099,7.128,18.444,0.098,"24.5-point implied total against a top-4 pass defense by EPA last year. 4.0 targets, a 12% target share, 63% of the snaps. Range 3-18 around a median of 7, 10% shot at a top-12 week.",
58,59,Denzel Boston,CLE,TB,0,8.23,8.207,2.443,7.16,18.61,0.1,"4th-lowest implied total (18.0) against a mid-pack pass defense last year. No NFL usage to price yet, so he is ranked off draft capital and a WR3 slot. Range 2-19 around a median of 7, 10% shot at a top-12 week. New HC.",
59,69,Pat Bryant,DEN,JAX,1,8.207,7.162,2.654,7.421,18.51,0.091,"23.2-point implied total against a top-3 pass defense by EPA last year. 4.1 targets, an 11% target share, a rotational snap count. Range 3-19 around a median of 7, 9% shot at a top-12 week.",
60,19,Jaylen Waddle,DEN,JAX,1,8.11,12.442,2.784,6.899,18.692,0.097,"23.2-point implied total against a top-3 pass defense by EPA last year. 7.4 targets, a 20% target share, 67% of the snaps. Range 3-19 around a median of 7, 10% shot at a top-12 week. New team.",
61,78,Xavier Hutchinson,HOU,CIN,1,7.785,6.646,3.311,6.518,17.091,0.064,"24.5-point implied total against 5th-worst pass defense by EPA last year. 4.4 targets, a 12% target share, 61% of the snaps. Range 3-17 around a median of 7, 6% shot at a top-12 week. Ceiling-dependent: his median sits at the low end of that range, so the projection leans on his best weeks.",
62,77,Kendrick Bourne,ARI,SEA,1,7.716,6.78,3.145,6.402,15.959,0.02,"2nd-lowest implied total (17.2) against the 6th-best pass defense by EPA last year. 4.8 targets, a 12% target share, 57% of the snaps. Range 3-16 around a median of 6, 2% shot at a top-12 week. New team.",
63,43,Jordan Addison,MIN,CHI,0,7.662,9.413,2.431,6.521,17.721,0.075,"21.0-point implied total against a mid-pack pass defense last year. 5.8 targets, a 16% target share, 69% of the snaps. Range 2-18 around a median of 7, 8% shot at a top-12 week.",
64,61,Dontayvion Wicks,PHI,TEN,0,7.622,7.785,2.348,7.098,17.384,0.074,"23.5-point implied total against 4th-worst pass defense by EPA last year. 4.1 targets, a 12% target share, 60% of the snaps. Range 2-17 around a median of 7, 7% shot at a top-12 week. New team.",
65,34,Michael Pittman,PIT,NE,0,7.568,10.831,2.696,6.289,17.302,0.071,"19.5-point implied total against the 11th-best pass defense by EPA last year. 7.1 targets, a 20% target share, 63% of the snaps. Range 3-17 around a median of 6, 7% shot at a top-12 week. New HC. New team.",
66,79,Mack Hollins,NE,PIT,1,7.258,6.511,2.091,6.536,16.709,0.054,"24.0-point implied total against a mid-pack pass defense last year. 5.0 targets, a 14% target share, 64% of the snaps. Range 2-17 around a median of 7, 5% shot at a top-12 week.",
67,33,Marvin Harrison Jr.,ARI,SEA,1,7.191,10.839,2.261,6.234,16.268,0.05,"2nd-lowest implied total (17.2) against the 6th-best pass defense by EPA last year. 5.2 targets, a 13% target share, 71% of the snaps. Range 2-16 around a median of 6, 5% shot at a top-12 week.",
68,71,Malachi Fields,NYG,LA,0,7.187,7.055,2.103,5.58,17.299,0.065,"20.0-point implied total against the 10th-best pass defense by EPA last year. No NFL usage to price yet, so he is ranked off draft capital and a WR4 slot. Range 2-17 around a median of 6, 6% shot at a top-12 week. Ceiling-dependent: his median sits at the low end of that range, so the projection leans on his best weeks. New HC.",
69,67,Ryan Flournoy,DAL,WAS,1,7.162,7.191,2.684,5.904,16.024,0.024,"3rd-highest implied total (28.0) against 3rd-worst pass defense by EPA last year. 4.1 targets, a 12% target share, 55% of the snaps. Range 3-16 around a median of 6, 2% shot at a top-12 week.",
70,50,Romeo Doubs,NE,PIT,1,7.113,8.75,2.281,5.755,16.66,0.054,"24.0-point implied total against a mid-pack pass defense last year. 6.3 targets, an 18% target share, 0.8 red-zone look, 77% of the snaps. Range 2-17 around a median of 6, 5% shot at a top-12 week. New team.",
