season,week,sleeper_id,player,position,team,a_pts_ppr,p_pts_ppr,resid,pred_change,verdict,why,snap_share,level,d_targets,d_carries,d_tds,injury_status,injury_part,left_early,cuts
2026,1,11623,Jordan Whittington,WR,LAR,1.8,1.34,0.45999999999999996,1.5484135022383725,HOLD,41% of the snaps.,0.4098360655737705,1.34,0.25,-0.07,-0.04,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,1,9501,DeMario Douglas,WR,NE,7.0,6.5,0.5,0.5177541395253047,HOLD,7 targets against 3.3 expected. 62% of the snaps.,0.6197183098591549,6.5,3.66,-0.47,-0.15000000000000002,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,1,8150,Kyren Williams,RB,LAR,15.5,14.59,0.9100000000000001,-1.348640463396718,HOLD,"3 targets, about what was expected. 11 carries against 14.9 expected. 64% of the snaps.",0.639344262295082,14.59,0.45999999999999996,-3.9299999999999997,0.21999999999999997,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,1,13421,Eli Raridon,TE,NE,7.2,4.57,2.63,0.6958444302841367,HOLD,54% of the snaps. 1 touchdown against 0.1 expected.,0.5352112676056338,4.57,-1.5499999999999998,0.0,0.87,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,1,8183,Brock Purdy,QB,SF,22.1,18.45,3.650000000000002,-3.0683871519650596,HOLD,5 carries against 4.0 expected. 34 attempts against 31.6 expected. 100% of the snaps. 3 touchdowns against 2.0 expected.,1.0,18.45,0.0,1.0499999999999998,0.98,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,1,2216,Mike Evans,WR,SF,16.9,12.77,4.129999999999999,-1.1799679077723786,HOLD,"7 targets, about what was expected. 75% of the snaps.",0.7538461538461538,12.77,0.21999999999999975,0.0,0.45999999999999996,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,1,13414,Kaelon Black,RB,SF,8.0,3.09,4.91,2.8759258514411736,HOLD,14 carries against 4.2 expected. 43% of the snaps.,0.4307692307692308,3.09,0.33999999999999997,9.85,-0.1,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,1,4177,Mack Hollins,WR,NE,9.1,3.64,5.459999999999999,2.0785690073341407,HOLD,5 targets against 1.9 expected. 70% of the snaps.,0.704225352112676,3.64,3.05,-0.13,-0.11,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,1,9488,Jaxon Smith-Njigba,WR,SEA,26.2,19.69,6.509999999999998,-2.7104537111753504,SELL HIGH,11 targets against 9.3 expected. 90% of the snaps.,0.9,19.69,1.7200000000000006,-0.42,0.45999999999999996,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,1,5872,Deebo Samuel,WR,SF,18.0,10.05,7.949999999999999,-0.4327429226505412,SELL HIGH,7 targets against 5.0 expected. 42% of the snaps. 1 touchdown against 0.3 expected.,0.4153846153846154,10.05,1.9699999999999998,0.10999999999999999,0.6699999999999999,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,1,3286,Demarcus Robinson,WR,SF,13.0,2.83,10.17,2.220129542553181,BREAKOUT,3 targets against 1.5 expected. 63% of the snaps. 1 touchdown against 0.1 expected.,0.6307692307692307,2.83,1.46,0.0,0.88,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
