player,gsis_id,team,injury_date,injury_year,injury_nfl_season,mechanism,confidence,date_basis,note,last_game,last_game_sw,career_games_pre,age_at_injury,returned,return_date,return_season,return_week,return_team,days_to_return,games_missed,days_to_10carry_game,pre_games,pre_carries_pg,pre_targets_pg,pre_touches_pg,pre_opp_pg,pre_rush_yds_pg,pre_scrim_yds_pg,pre_rush_share,pre_tgt_share,pre_ypc,pre_yds_per_touch,pre_epa_per_rush,pre_success_rate,pre_explosive_rate,pre_stuff_rate,pre_rush_fd_rate,pre_catch_rate,pre_yds_per_tgt,pre_epa_per_tgt,pre_ppr_pg,pre_carries_tot,pre_touches_tot,pre_scrim_yds_tot,pre_snaps_pg,pre_snap_pct,y1_games,y1_carries_pg,y1_targets_pg,y1_touches_pg,y1_opp_pg,y1_rush_yds_pg,y1_scrim_yds_pg,y1_rush_share,y1_tgt_share,y1_ypc,y1_yds_per_touch,y1_epa_per_rush,y1_success_rate,y1_explosive_rate,y1_stuff_rate,y1_rush_fd_rate,y1_catch_rate,y1_yds_per_tgt,y1_epa_per_tgt,y1_ppr_pg,y1_carries_tot,y1_touches_tot,y1_scrim_yds_tot,y1_snaps_pg,y1_snap_pct,y1_team_games,y2_games,y2_carries_pg,y2_targets_pg,y2_touches_pg,y2_opp_pg,y2_rush_yds_pg,y2_scrim_yds_pg,y2_rush_share,y2_tgt_share,y2_ypc,y2_yds_per_touch,y2_epa_per_rush,y2_success_rate,y2_explosive_rate,y2_stuff_rate,y2_rush_fd_rate,y2_catch_rate,y2_yds_per_tgt,y2_epa_per_tgt,y2_ppr_pg,y2_carries_tot,y2_touches_tot,y2_scrim_yds_tot,y2_snaps_pg,y2_snap_pct,y2_ngs_ryoe_att,y2_ngs_efficiency,y2_ngs_8plus_box,y2_ngs_att,y1_ngs_ryoe_att,y1_ngs_efficiency,y1_ngs_8plus_box,y1_ngs_att,pre_ngs_ryoe_att,pre_ngs_efficiency,pre_ngs_8plus_box,pre_ngs_att,baseline_ok
Bernard Scott,00-0026941,CIN,2012-10-07,2012,2012,game,high,lastgame,ACL vs MIA,2012-10-07,2012w5,41,28.7,True,2013-12-22,2013.0,16.0,BAL,441.0,25.0,,8,6.25,1.0,6.875,7.25,19.0,22.125,0.2145922746781116,0.03076923076923077,3.04,3.2181818181818183,-0.07352524894056842,0.36,0.08,0.26,0.22,0.625,3.125,-0.394167335878592,4.3375,50,55.0,177.0,,,2.0,2.0,1.0,3.0,3.0,7.0,12.0,0.09523809523809523,0.022222222222222223,3.5,4.0,-0.32589604053646326,0.0,0.0,0.0,0.0,1.0,5.0,0.3001399652566761,2.2,4.0,6.0,24.0,6.5,0.09,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
Vick Ballard,00-0029547,IND,2013-09-12,2013,2013,practice,high,reported,ACL in practice; IR 2013-09-13,2013-09-08,2013w1,17,23.2,False,,,,,,,,8,16.875,1.75,17.875,18.625,70.375,75.625,0.6398104265402843,0.04929577464788732,4.17037037037037,4.230769230769231,-0.028055444326148263,0.43703703703703706,0.15555555555555556,0.26666666666666666,0.28888888888888886,0.5714285714285714,3.0,-0.3273456437614959,10.0625,135,143.0,605.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
Mike Goodson,00-0027080,NYJ,2013-10-13,2013,2013,game,high,reported,ACL+MCL vs PIT,2013-10-13,2013w6,35,26.4,False,,,,,,,,8,3.875,1.5,5.25,5.375,27.875,43.625,0.14027149321266968,0.042704626334519574,7.193548387096774,8.30952380952381,0.13713642761990008,0.45161290322580644,0.16129032258064516,0.22580645161290322,0.1935483870967742,0.9166666666666666,10.5,0.8484847888515409,5.7375,31,42.0,349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
Isaiah Pead,00-0029626,STL,2014-08-17,2014,2013,preseason,high,reported,ACL in preseason vs GB,2013-12-01,2013w13,12,24.7,True,2015-09-13,2015.0,1.0,LA,392.0,20.0,,8,1.625,2.125,3.125,3.75,5.25,16.125,0.06435643564356436,0.05345911949685535,3.230769230769231,5.16,0.1238348097495663,0.46153846153846156,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.7058823529411765,5.117647058823529,-0.05136500276036232,3.1125,13,25.0,129.0,,,1.0,2.0,0.0,2.0,2.0,3.0,3.0,0.07692307692307693,0.0,1.5,1.5,-3.108261755143758,0.0,0.0,0.5,0.0,,,,0.30000000000000004,2.0,2.0,3.0,3.0,0.05,16.0,3.0,2.6666666666666665,0.3333333333333333,3.0,3.0,7.333333333333333,9.333333333333334,0.14545454545454545,0.012658227848101266,2.75,3.111111111111111,-0.4214682567981072,0.0,0.0,0.125,0.0,1.0,6.0,0.26275408500805497,1.2666666666666668,8.0,9.0,28.0,7.0,0.12666666666666668,,,,,,,,,,,,,False
Stevan Ridley,00-0028011,NE,2014-10-12,2014,2014,game,high,lastgame,ACL+MCL wk6 vs BUF,2014-10-12,2014w6,48,25.7,True,2015-11-12,2015.0,10.0,NYJ,396.0,18.0,1176.0,8,14.875,0.625,15.25,15.5,59.875,61.625,0.476,0.01773049645390071,4.025210084033613,4.040983606557377,-0.024761602603413542,0.4117647058823529,0.05042016806722689,0.15126050420168066,0.20168067226890757,0.6,2.8,-0.23138162274844945,8.037500000000001,119,122.0,493.0,27.25,0.36875,8.0,4.5,0.625,5.0,5.125,11.25,11.0,0.17391304347826086,0.01607717041800643,2.5,2.2,-0.2755984083519757,0.2222222222222222,0.08333333333333333,0.3611111111111111,0.1388888888888889,0.8,-0.4,-0.6250549284392036,1.6,36.0,40.0,88.0,10.75,0.165,16.0,1.0,3.0,0.0,3.0,3.0,7.0,7.0,0.08823529411764706,0.0,2.3333333333333335,2.3333333333333335,-0.14235696169392517,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,,,,0.7000000000000001,3.0,3.0,7.0,3.0,0.04,,,,,,,,,,,,,True
Knowshon Moreno,00-0026988,MIA,2014-10-12,2014,2014,game,high,lastgame,second ACL; career ending,2014-10-12,2014w6,63,27.2,False,,,,,,,,8,14.5,3.625,17.375,18.125,72.0,98.5,0.5087719298245614,0.08504398826979472,4.9655172413793105,5.669064748201439,0.09114209731051907,0.45689655172413796,0.12931034482758622,0.13793103448275862,0.25,0.7931034482758621,7.310344827586207,0.5756934604543837,16.475,116,139.0,788.0,38.5,0.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
Jamaal Charles,00-0026213,KC,2015-10-11,2015,2015,game,high,lastgame,second ACL same knee wk5 vs CHI,2015-10-11,2015w5,100,28.8,True,2016-10-02,2016.0,4.0,KC,357.0,14.0,701.0,8,12.875,5.25,16.625,18.125,66.5,95.0,0.5567567567567567,0.1494661921708185,5.165048543689321,5.714285714285714,0.010578805632161393,0.39805825242718446,0.14563106796116504,0.13592233009708737,0.2815533980582524,0.7142857142857143,5.428571428571429,-0.10083316237122875,19.25,103,133.0,760.0,51.125,0.7575000000000001,3.0,4.0,1.0,4.666666666666667,5.0,13.333333333333334,18.0,0.13953488372093023,0.031914893617021274,3.3333333333333335,3.857142857142857,0.06488029234363542,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.25,0.6666666666666666,4.666666666666667,-0.4082007795085259,4.466666666666667,12.0,14.0,54.0,9.0,0.13333333333333333,16.0,14.0,4.928571428571429,2.0,6.571428571428571,6.928571428571429,21.142857142857142,30.357142857142858,0.17293233082706766,0.057971014492753624,4.2898550724637685,4.619565217391305,-0.20014697731475925,0.37681159420289856,0.14492753623188406,0.15942028985507245,0.2318840579710145,0.8214285714285714,4.607142857142857,-0.12132520537616065,5.535714285714286,69.0,92.0,425.0,14.714285714285714,0.2121428571428571,,5.659999999999999,20.0,10.0,,,,,,,,,True
Lance Dunbar,00-0029004,DAL,2015-10-04,2015,2015,game,high,reported,ACL+MCL on 2nd half kickoff at NO,2015-10-04,2015w4,35,25.7,True,2016-09-11,2016.0,1.0,DAL,343.0,12.0,,8,1.5,3.375,4.5,4.875,7.25,36.125,0.04878048780487805,0.11065573770491803,4.833333333333333,8.027777777777779,-0.1945716361127173,0.5,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.8888888888888888,8.555555555555555,0.448550836823415,6.612500000000001,12,36.0,289.0,15.5,0.22625,13.0,0.6923076923076923,1.8461538461538463,1.9230769230769231,2.5384615384615383,2.3846153846153846,11.76923076923077,0.022332506203473945,0.061855670103092786,3.4444444444444446,6.12,-0.1328156951478579,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.6666666666666666,5.083333333333333,-0.11937283185683102,2.869230769230769,9.0,25.0,153.0,10.692307692307692,0.16153846153846155,16.0,4.0,2.75,0.75,3.0,3.5,12.75,13.0,0.11956521739130435,0.021897810218978103,4.636363636363637,4.333333333333333,0.22677832950351082,0.5454545454545454,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.3333333333333333,0.3333333333333333,-0.5818704734362351,3.05,11.0,12.0,52.0,9.75,0.15,,,,,,,,,,,,,False
Dion Lewis,00-0028087,NE,2015-11-08,2015,2015,game,high,reported,ACL left knee vs WAS,2015-11-08,2015w9,21,25.1,True,2016-11-20,2016.0,11.0,NE,378.0,17.0,406.0,8,6.125,5.625,10.125,11.75,31.5,75.125,0.25257731958762886,0.14150943396226415,5.142857142857143,7.419753086419753,0.21996140460993455,0.4897959183673469,0.1836734693877551,0.10204081632653061,0.30612244897959184,0.7111111111111111,7.7555555555555555,0.3003251218988502,15.2625,49,81.0,601.0,,,7.0,9.142857142857142,3.4285714285714284,11.571428571428571,12.571428571428571,40.42857142857143,53.857142857142854,0.29906542056074764,0.09056603773584905,4.421875,4.654320987654321,0.03192835017163691,0.46875,0.078125,0.109375,0.21875,0.7083333333333334,3.9166666666666665,-0.15299711357268583,7.814285714285715,64.0,81.0,377.0,23.285714285714285,0.3171428571428571,16.0,16.0,11.25,2.1875,13.25,13.4375,56.0,69.375,0.4017857142857143,0.059931506849315065,4.977777777777778,5.235849056603773,0.10334590622303987,0.4666666666666667,0.1388888888888889,0.16666666666666666,0.26666666666666666,0.9142857142857143,6.114285714285714,0.3795343776557794,12.3125,180.0,212.0,1110.0,25.3125,0.35750000000000004,,3.4351956170983393,30.76923076923077,156.0,,3.8155963037936727,20.0,45.0,,,,,True
Danny Woodhead,00-0026019,SD,2016-09-18,2016,2016,game,high,lastgame,ACL wk2 vs JAX,2016-09-18,2016w2,87,31.6,True,2017-09-10,2017.0,1.0,BAL,357.0,14.0,,8,7.0,6.75,12.0,13.75,24.375,57.5,0.2616822429906542,0.17763157894736842,3.482142857142857,4.791666666666667,-0.13431601938698026,0.3392857142857143,0.05357142857142857,0.21428571428571427,0.21428571428571427,0.7407407407407407,4.907407407407407,-0.07226296724585902,15.25,56,96.0,460.0,39.875,0.56125,8.0,1.75,4.875,5.875,6.625,7.0,32.0,0.058091286307053944,0.14181818181818182,4.0,5.446808510638298,-0.19756759304259167,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.8461538461538461,5.128205128205129,0.01179721297688078,7.325,14.0,47.0,256.0,19.625,0.28500000000000003,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.623146067415731,0.0,16.0,True
Giovani Bernard,00-0030456,CIN,2016-11-20,2016,2016,game,high,lastgame,ACL wk11 vs BUF,2016-11-20,2016w11,55,25.0,True,2017-09-10,2017.0,1.0,CIN,294.0,6.0,379.0,8,9.875,4.875,13.875,14.75,36.375,72.75,0.35267857142857145,0.13978494623655913,3.6835443037974684,5.243243243243243,-0.11684874807708437,0.379746835443038,0.0759493670886076,0.20253164556962025,0.17721518987341772,0.8205128205128205,7.461538461538462,0.23179203150888766,13.525,79,111.0,582.0,40.75,0.58375,16.0,6.5625,3.75,9.25,10.3125,28.625,52.4375,0.27851458885941643,0.12295081967213115,4.3619047619047615,5.668918918918919,-0.09343634922656098,0.37142857142857144,0.13333333333333333,0.1523809523809524,0.19047619047619047,0.7166666666666667,6.35,0.008659894802664528,9.43125,105.0,148.0,839.0,30.125,0.48750000000000004,16.0,12.0,4.666666666666667,4.0,7.583333333333333,8.666666666666666,17.583333333333332,35.75,0.20437956204379562,0.1218274111675127,3.767857142857143,4.714285714285714,-0.07746847237545548,0.30357142857142855,0.14285714285714285,0.16071428571428573,0.25,0.7291666666666666,4.541666666666667,-0.08722831379500058,7.991666666666667,56.0,91.0,429.0,27.416666666666668,0.4258333333333333,-0.07009073409662812,3.679395475304242,33.333333333333336,27.0,,3.7681565399172836,16.901408450704224,71.0,,5.008150204542388,7.547169811320755,53.0,True
Dalvin Cook,00-0033893,MIN,2017-10-01,2017,2017,game,high,lastgame,ACL wk4 vs DET,2017-10-01,2017w4,4,22.1,True,2018-09-09,2018.0,1.0,MIN,343.0,12.0,343.0,3,20.333333333333332,4.333333333333333,23.666666666666668,24.666666666666668,96.0,123.33333333333333,0.7011494252873564,0.12871287128712872,4.721311475409836,5.211267605633803,-0.04788255747732111,0.3770491803278688,0.11475409836065574,0.19672131147540983,0.19672131147540983,0.7692307692307693,6.3076923076923075,-0.05351315187721461,17.666666666666668,61,71.0,370.0,47.333333333333336,0.6933333333333334,11.0,12.090909090909092,4.454545454545454,15.727272727272727,16.545454545454547,55.90909090909091,83.63636363636364,0.532,0.12564102564102564,4.62406015037594,5.317919075144508,-0.16633724427894372,0.3458646616541353,0.12781954887218044,0.23308270676691728,0.17293233082706766,0.8163265306122449,6.224489795918367,0.10103514018392533,14.181818181818182,133.0,173.0,920.0,44.63636363636363,0.6981818181818181,16.0,14.0,17.857142857142858,4.5,21.642857142857142,22.357142857142858,81.07142857142857,118.14285714285714,0.576036866359447,0.16071428571428573,4.54,5.458745874587459,0.02110978679409965,0.388,0.1,0.148,0.256,0.8412698412698413,8.238095238095237,0.4466908651810573,21.17142857142857,250.0,303.0,1654.0,43.142857142857146,0.655,0.44735182319495986,4.519215742463085,22.413793103448278,232.0,-0.08919055924150912,4.571673677384875,20.0,115.0,,3.7989398182402496,26.229508196721312,61.0,False
