player,year,n_ctl,carries_pg__case,carries_pg__ctl,targets_pg__case,targets_pg__ctl,touches_pg__case,touches_pg__ctl,opp_pg__case,opp_pg__ctl,rush_share__case,rush_share__ctl,tgt_share__case,tgt_share__ctl,snaps_pg__case,snaps_pg__ctl,snap_pct__case,snap_pct__ctl,ypc__case,ypc__ctl,yds_per_touch__case,yds_per_touch__ctl,epa_per_rush__case,epa_per_rush__ctl,success_rate__case,success_rate__ctl,explosive_rate__case,explosive_rate__ctl,stuff_rate__case,stuff_rate__ctl,rush_fd_rate__case,rush_fd_rate__ctl,yds_per_tgt__case,yds_per_tgt__ctl,ngs_ryoe_att__case,ngs_ryoe_att__ctl,rush_yds_pg__case,rush_yds_pg__ctl,scrim_yds_pg__case,scrim_yds_pg__ctl,ppr_pg__case,ppr_pg__ctl
Jamaal Charles,2011,209,3.6875,-1.4375,-1.125,-0.25,2.875,-1.4375,2.5625,-1.4166666666666679,0.13870229007633583,-0.04563533598492775,-0.036236214483620355,-0.011207761793241885,,,,,-1.4574755472752674,-0.05584064830399749,-1.2768020072992705,-0.10440587449933236,-0.22770628696642511,-0.030065247188092337,-0.058344977487967686,-0.007944322251504515,-0.05784816022356776,-0.006015249463341747,0.09380530973451329,0.0005469063061191021,-0.07983232417326505,-0.0015663647872236897,0.09848484848484862,-0.2928571428571427,,,-1.0625,-7.708333333333336,-6.1875,-8.49166666666666,-3.6812499999999986,-1.668181818181818
Tim Hightower,2011,203,-1.5,-1.625,-1.875,-0.3250000000000002,-2.0,-1.6666666666666679,-3.375,-1.5833333333333321,0.016129032258064502,-0.048945147679324896,-0.05752942709464449,-0.013928840325102804,,,,,-0.0567129629629628,-0.0660697234741423,0.424731182795699,-0.11382113821138207,0.055818740945621066,-0.023612406883658475,0.07407407407407407,-0.01149113090749121,0.02893518518518519,-0.00583690551773032,-0.04513888888888887,0.004014315063211468,0.11226851851851855,-0.005377222103234089,6.423076923076923,-0.383210991906644,,,-6.625,-9.482142857142854,-2.75,-9.6875,-1.5249999999999986,-1.5733333333333341
Knowshon Moreno,2011,135,11.5,-0.13461538461538503,1.125,0.3125,12.5,0.19642857142857117,12.625,0.4375,0.318796992481203,0.004901960784313708,0.02586281588447653,0.005311203319502078,,,,,-0.26086956521739113,-0.06666666666666643,-0.935934335358704,-0.03924646781789676,0.26892108259846426,-0.017619542057148573,0.2101449275362319,-0.01464197997354999,-0.07971014492753624,-0.004581271761040867,-0.043478260869565216,0.01610017889087656,0.12318840579710146,0.0,-0.9298642533936645,-0.20978120978120973,,,42.25,0.041666666666666075,47.5,1.9499999999999993,8.0,-0.08333333333333348
Adrian Peterson,2011,188,4.5,-2.197916666666666,1.9375,-0.4340277777777778,6.0,-1.96875,6.4375,-2.040178571428571,0.06510598648963428,-0.07167586663683845,0.06647181628392484,-0.014911842086816743,,,,,1.4171664167916038,-0.2158243872390806,1.066657251800593,-0.2154782917883944,0.029247481997237854,-0.020457909956300452,0.009495252373813101,-0.014423217600064098,0.04485257371314344,-0.006834754665677914,0.044227886056971505,0.004950641233360531,0.013743128435782126,-0.008512888994850587,-3.6450980392156866,-0.26132404181184654,,,51.5625,-13.901785714285715,55.25,-16.348214285714285,5.149999999999999,-2.742548076923077
Rashard Mendenhall,2012,211,-7.25,-1.4833333333333325,-0.16666666666666674,-0.25,-7.125,-1.375,-7.416666666666666,-1.375,-0.28008600327054695,-0.04563533598492775,-0.005836501901140684,-0.009241772813115286,,,,,-0.7091503267973853,-0.051013303210400096,-0.7508515815085159,-0.0714810281517746,-0.22408597620680892,-0.02744159924220535,-0.09477124183006536,-0.005660969534849902,-0.024743230625583562,-0.005529448621553881,-0.0018674136321195078,0.0005469063061191021,-0.07329598506069093,-0.001158694246929548,-1.9261363636363633,-0.2999999999999998,,,-37.04166666666667,-6.111111111111114,-41.833333333333336,-7.625,-7.558333333333333,-1.244642857142857
Bernard Scott,2012,69,-4.25,0.8571428571428568,0.0,0.07499999999999996,-3.875,0.3125,-4.25,0.3125,-0.11935417944001636,0.02605905942398834,-0.008547008547008548,-0.0013501350135013482,,,,,0.45999999999999996,-0.29862649534780683,0.7818181818181817,-0.12785388127853814,-0.2523707915958948,-0.05462367919883973,-0.36,-0.01783879704865976,-0.08,-0.0390161153519932,-0.26,0.0369357045143639,-0.22,-0.017576318223866794,1.875,0.21583763996554683,,,-12.0,-1.454545454545455,-10.125,0.1538461538461533,-2.1375,-0.2999999999999998
Stevan Ridley,2014,217,-10.375,-1.9375,0.0,-0.3500000000000001,-10.25,-2.158333333333335,-10.375,-1.985294117647058,-0.3020869565217391,-0.06272901285206456,-0.0016533260358942807,-0.011340647657299793,-16.5,-3.0187500000000007,-0.20375000000000001,-0.035590686274509786,-1.5252100840336134,-0.1251125112511251,-1.8409836065573773,-0.19650040225261467,-0.25083680574856215,-0.03433695088558439,-0.1895424836601307,-0.011318108974358976,0.03291316526610644,-0.005701754385964902,0.20985060690943044,0.0009132420091323978,-0.06279178338001867,-0.010213899785360081,-3.1999999999999997,-0.4369369369369367,,,-48.625,-7.875,-50.625,-11.0625,-6.437500000000002,-2.1187499999999986
Jamaal Charles,2015,132,-8.875,-2.894318181818182,-4.25,-0.4466911764705882,-11.958333333333332,-3.5,-13.125,-3.729166666666666,-0.4172218730358265,-0.09243880233258436,-0.11755129855379723,-0.01283206206058898,-42.125,-6.125,-0.6241666666666668,-0.09083333333333327,-1.8317152103559873,-0.1859147616578225,-1.8571428571428572,-0.08579094449318303,0.05430148671147403,-0.028751433568166326,-0.06472491909385114,-0.01787437431001787,-0.06229773462783171,-0.0064058710955499296,0.030744336569579284,0.0027748445260653704,-0.03155339805825241,-0.009214113685286351,-0.7619047619047619,-0.36264534883720945,,,-53.166666666666664,-16.55514705882353,-77.0,-18.79621848739496,-14.783333333333333,-3.110946969696971
Dion Lewis,2015,183,3.0178571428571423,-1.240384615384615,-2.1964285714285716,-0.25,1.4464285714285712,-0.9431818181818183,0.8214285714285712,-1.0,0.046488100973118784,-0.04009920964564595,-0.0509433962264151,-0.01057737619603745,,,,,-0.7209821428571432,-0.16656460502143222,-2.765432098765432,-0.21675774134790604,-0.18803305443829765,-0.026903382739976264,-0.021045918367346927,-0.013814616755793208,-0.10554846938775511,-0.011737089201877937,0.0073341836734693855,0.0011185682326622093,-0.08737244897959184,0.00020475020475019257,-3.838888888888889,-0.3733108108108105,,,8.92857142857143,-7.363636363636363,-21.267857142857146,-8.352272727272727,-7.448214285714284,-1.5625
Danny Woodhead,2016,36,-5.25,-1.7259615384615383,-1.875,-0.7236111111111112,-6.125,-3.0069444444444446,-7.125,-2.7986111111111107,-0.20359095668360022,-0.053313961996177966,-0.0358133971291866,-0.024758211422373673,-20.25,-4.0486111111111125,-0.27625,-0.0775,0.5178571428571428,-0.5624932867883996,0.6551418439716308,-0.4277913586714006,-0.0632515736556114,-0.04192179371225896,0.01785714285714285,-0.009336419753086411,0.017857142857142856,-0.017909372981020424,-0.14285714285714285,0.005242643829600338,-0.07142857142857142,-0.012931420942596306,0.2207977207977212,-1.3555182072829128,,,-17.375,-10.6,-25.5,-19.997596153846153,-7.925,-3.1399038461538464
