variant,position,season,spearman,top12,regret,mae_pts,mean_abs_rank_err
no_playcaller_layer,WR,2025,0.37271403273886594,0.25,9.274999999999999,5.939642378170527,21.125
no_scheme_at_all,QB,2019,0.17787502450115858,0.25,11.471666666666666,7.744579877916428,11.166666666666666
no_scheme_at_all,QB,2020,0.5988155461488781,0.6666666666666666,3.0333333333333363,5.065920257284739,7.166666666666667
no_scheme_at_all,QB,2021,0.4491634491634492,0.4166666666666667,5.849999999999999,6.523487850513564,8.666666666666666
no_scheme_at_all,QB,2022,0.5739108062595267,0.5833333333333334,3.3883333333333354,4.907795896647871,6.777777777777778
no_scheme_at_all,QB,2023,0.2256424031868514,0.3333333333333333,7.446666666666668,6.80318507823233,10.5
no_scheme_at_all,QB,2024,0.6851257054612899,0.6666666666666666,2.6433333333333358,4.683473446183731,6.777777777777778
no_scheme_at_all,QB,2025,0.5609428718025894,0.5,8.000000000000005,8.340501629225166,8.055555555555555
no_scheme_at_all,RB,2019,0.5628644498837152,0.5,7.066666666666663,7.380175114446823,13.333333333333334
no_scheme_at_all,RB,2020,0.39324219244898506,0.5,7.425000000000007,5.700412271518617,15.066666666666666
no_scheme_at_all,RB,2021,0.5607977656459848,0.5,6.675,5.11287971915584,11.8
no_scheme_at_all,RB,2022,0.4777248724664325,0.25,8.908333333333337,5.692094137173537,13.9
no_scheme_at_all,RB,2023,0.41310471551247896,0.4166666666666667,6.141666666666661,5.274793904644263,14.266666666666667
no_scheme_at_all,RB,2024,0.5482512907822871,0.4166666666666667,4.100000000000001,5.426484826747215,12.533333333333333
no_scheme_at_all,RB,2025,0.7304357973345645,0.5,2.4333333333333322,4.274791174737884,10.166666666666666
no_scheme_at_all,TE,2019,0.15372798743184662,0.5,7.908333333333336,5.11901153116388,10.777777777777779
no_scheme_at_all,TE,2020,0.450437708029433,0.5,4.508333333333337,4.761270625138774,9.0
no_scheme_at_all,TE,2021,0.5489728190007697,0.6666666666666666,2.9500000000000006,4.855502245805257,7.277777777777778
no_scheme_at_all,TE,2022,0.2194822274342079,0.4166666666666667,5.300000000000002,5.060253344782485,10.166666666666666
no_scheme_at_all,TE,2023,0.25073226780438546,0.4166666666666667,4.099999999999999,3.809809207729586,9.88888888888889
no_scheme_at_all,TE,2024,0.13473309288565385,0.5833333333333334,4.616666666666667,4.1574971209193885,9.944444444444445
no_scheme_at_all,TE,2025,0.37129065328312516,0.5833333333333334,4.441666666666667,3.825468962385579,8.833333333333334
no_scheme_at_all,WR,2019,0.28920014644371855,0.16666666666666666,15.183333333333335,7.236875289386832,21.35
