qb_id,player_name,rd,pk,seasons,rush,designed,scramble,epa,fpg,qb1,best,y0,y1,career_q,quadrant
00-0032268,Marcus Mariota,1,2,5,24.066666666666666,11.933333333333334,14.416666666666666,0.018488056474873796,15.189230769230768,0,13,2015,2022,3,NOT EFFICIENT + RUSHING
00-0037077,Sam Howell,5,144,1,15.705882352941176,1.6470588235294117,14.058823529411764,-0.1326995577061089,15.090588235294115,0,14,2023,2023,3,NOT EFFICIENT + RUSHING
00-0023682,Ryan Fitzpatrick,7,250,9,17.266666666666666,2.0,14.8125,-0.009510472665562231,15.068333333333333,2,11,2008,2019,3,NOT EFFICIENT + RUSHING
00-0039164,Anthony Richardson,1,4,1,46.18181818181818,29.454545454545453,16.727272727272727,-0.11729841334650601,14.850909090909092,0,25,2024,2024,3,NOT EFFICIENT + RUSHING
00-0025604,Tyler Thigpen,7,217,1,28.0,8.0,20.0,-0.006388846926021231,14.822857142857142,1,11,2008,2008,3,NOT EFFICIENT + RUSHING
00-0023436,Alex Smith,1,1,9,17.2,2.3636363636363638,13.1,0.05940094472999595,14.693333333333333,1,4,2009,2018,3,NOT EFFICIENT + RUSHING
00-0020679,Shaun Hill,,,1,11.0,1.8181818181818181,9.181818181818182,0.046225266951436854,14.503636363636362,0,22,2010,2010,3,NOT EFFICIENT + RUSHING
00-0029567,Nick Foles,3,88,2,10.61888111888112,3.548951048951049,7.06993006993007,0.006177503676355278,14.478251748251747,1,10,2013,2015,3,NOT EFFICIENT + RUSHING
00-0040743,Tyler Shough,2,40,1,17.90909090909091,6.545454545454546,11.363636363636363,-0.004860278663752257,14.46,0,26,2025,2025,3,NOT EFFICIENT + RUSHING
00-0035289,Gardner Minshew,6,178,2,16.276785714285715,0.24553571428571427,16.03125,-0.00472348258859397,14.405000000000001,0,19,2019,2023,3,NOT EFFICIENT + RUSHING
00-0024226,Jay Cutler,1,11,9,13.4375,0.8,9.625,-0.01403022490621251,14.296249999999999,2,4,2008,2017,3,NOT EFFICIENT + RUSHING
00-0031237,Teddy Bridgewater,1,32,4,14.867788461538462,0.930952380952381,13.653846153846153,0.0659758766136325,14.212307692307691,0,18,2014,2021,3,NOT EFFICIENT + RUSHING
00-0035704,Drew Lock,2,42,1,13.23076923076923,3.230769230769231,10.0,-0.08814104101197118,14.04,0,23,2020,2020,3,NOT EFFICIENT + RUSHING
00-0031800,Taylor Heinicke,,,1,20.125,2.8125,17.3125,-0.05216560176860223,13.934999999999999,0,20,2021,2021,3,NOT EFFICIENT + RUSHING
00-0021231,David Garrard,4,108,3,20.625,5.625,15.375,0.02581920826942006,13.86125,1,10,2008,2010,3,NOT EFFICIENT + RUSHING
00-0039150,Bryce Young,1,1,3,16.0625,-0.125,16.1875,-0.027280650718350456,13.74,0,19,2023,2025,3,NOT EFFICIENT + RUSHING
00-0021206,Josh McCown,3,81,2,11.08041958041958,0.6818181818181819,10.398601398601398,-0.023441328718518985,13.725384615384616,0,20,2014,2017,3,NOT EFFICIENT + RUSHING
00-0033119,Jacoby Brissett,3,91,4,16.3375,1.9142857142857141,13.807142857142857,0.008256116657256828,13.712250000000001,0,17,2017,2025,3,NOT EFFICIENT + RUSHING
00-0034869,Sam Darnold,1,3,6,12.54524886877828,1.1838235294117647,10.952488687782806,-0.03466020856900731,13.6203431372549,1,9,2018,2025,3,NOT EFFICIENT + RUSHING
00-0030565,Geno Smith,2,39,6,17.01890756302521,2.7752100840336134,14.243697478991596,0.008724975575534399,13.611166666666668,1,5,2013,2025,3,NOT EFFICIENT + RUSHING
00-0030526,EJ Manuel,1,16,1,21.2,5.7,15.5,-0.12371916970833204,13.607999999999999,0,28,2013,2013,3,NOT EFFICIENT + RUSHING
00-0033869,Mitchell Trubisky,1,2,3,21.25,5.2,17.833333333333332,-0.054553795695570284,13.561333333333332,0,15,2017,2019,3,NOT EFFICIENT + RUSHING
00-0039923,J.J. McCarthy,1,10,1,19.1,3.5,15.6,-0.1510853227666139,12.638,0,31,2025,2025,3,NOT EFFICIENT + RUSHING
00-0023460,Jason Campbell,1,25,3,17.0625,1.3076923076923077,14.875,0.0255910918564301,12.568750000000001,0,13,2008,2010,3,NOT EFFICIENT + RUSHING
00-0027950,Christian Ponder,1,12,1,16.9375,0.4375,16.5,-0.005864976616124321,12.28125,0,22,2012,2012,3,NOT EFFICIENT + RUSHING
00-0027688,Colt McCoy,3,85,1,17.0,1.3076923076923077,15.692307692307692,-0.060448520190153336,12.26,0,21,2011,2011,3,NOT EFFICIENT + RUSHING
00-0027946,Jake Locker,1,8,1,26.545454545454547,2.090909090909091,24.454545454545453,-0.032151070370482294,12.021818181818183,0,28,2012,2012,3,NOT EFFICIENT + RUSHING
00-0038122,Desmond Ridder,3,74,1,13.4,4.8,8.6,-0.06653592799175607,11.836,0,22,2023,2023,3,NOT EFFICIENT + RUSHING
00-0033899,DeShone Kizer,2,52,1,28.066666666666666,7.0,21.066666666666666,-0.20447178943458805,11.723999999999998,0,25,2017,2017,3,NOT EFFICIENT + RUSHING
00-0031589,Brett Hundley,5,147,1,24.818181818181817,5.7272727272727275,19.09090909090909,-0.15723933486109215,11.158181818181818,0,31,2017,2017,3,NOT EFFICIENT + RUSHING
00-0037013,Zach Wilson,1,2,2,16.26923076923077,0.35256410256410253,15.916666666666666,-0.22068929235986035,10.87448717948718,0,29,2021,2023,3,NOT EFFICIENT + RUSHING
00-0038102,Kenny Pickett,1,20,2,12.592948717948719,2.019230769230769,10.573717948717949,-0.06028602101313063,10.47826923076923,0,28,2022,2023,3,NOT EFFICIENT + RUSHING
00-0039152,Will Levis,2,33,1,15.416666666666666,3.8333333333333335,11.583333333333334,-0.1635387787578873,10.011666666666665,0,30,2024,2024,3,NOT EFFICIENT + RUSHING
00-0027973,Andy Dalton,2,35,10,9.59090909090909,1.6875,7.75,0.0053737201051937845,15.739278846153844,3,5,2011,2022,4,NOT EFFICIENT + NOT RUSHING
00-0031280,Derek Carr,2,36,11,6.533333333333333,0.6666666666666666,5.066666666666666,0.03974845022130244,15.110000000000003,1,9,2014,2024,4,NOT EFFICIENT + NOT RUSHING
00-0028986,Case Keenum,,,2,9.15625,0.7145833333333333,8.441666666666666,0.049358071691228605,14.736625,0,14,2017,2018,4,NOT EFFICIENT + NOT RUSHING
00-0023541,Kyle Orton,4,106,4,4.375,0.5360576923076923,3.63125,0.01629266994953469,14.120000000000001,0,16,2008,2014,4,NOT EFFICIENT + NOT RUSHING
00-0027854,Sam Bradford,1,1,5,4.4,0.0,4.4,-0.0029553472110980376,14.0,0,16,2010,2016,4,NOT EFFICIENT + NOT RUSHING
00-0021429,Carson Palmer,1,1,7,2.6,0.06666666666666667,2.5,0.03663375033693263,13.97125,1,5,2009,2016,4,NOT EFFICIENT + NOT RUSHING
00-0034577,Kyle Allen,,,1,8.538461538461538,0.8461538461538461,7.6923076923076925,-0.04144578796009289,13.69076923076923,0,28,2019,2019,4,NOT EFFICIENT + NOT RUSHING
00-0026625,Brian Hoyer,,,2,3.9448051948051948,0.14610389610389612,3.7987012987012987,0.0070997751547177525,13.23474025974026,0,25,2014,2015,4,NOT EFFICIENT + NOT RUSHING
00-0026158,Joe Flacco,1,18,11,4.25,1.125,3.375,0.00270700595926493,13.0175,1,11,2008,2025,4,NOT EFFICIENT + NOT RUSHING
00-0032156,Trevor Siemian,7,250,2,8.581168831168831,0.21428571428571427,8.366883116883118,-0.07577169637431382,12.656948051948051,0,26,2016,2017,4,NOT EFFICIENT + NOT RUSHING
00-0030520,Mike Glennon,3,73,1,5.384615384615385,0.23076923076923078,5.153846153846154,-0.06669785708849328,12.409230769230769,0,26,2013,2013,4,NOT EFFICIENT + NOT RUSHING
00-0036972,Mac Jones,1,15,3,9.272727272727273,1.5454545454545454,7.7272727272727275,-0.06900820933366349,12.362857142857141,0,18,2021,2023,4,NOT EFFICIENT + NOT RUSHING
00-0036898,Davis Mills,3,67,2,5.707692307692308,0.558974358974359,5.148717948717948,-0.12981231091359896,12.129128205128204,0,21,2021,2022,4,NOT EFFICIENT + NOT RUSHING
00-0005106,Brett Favre,2,33,3,1.2307692307692308,0.5625,1.0769230769230769,0.014523311484424697,11.9925,1,3,2008,2010,4,NOT EFFICIENT + NOT RUSHING
00-0025708,Matt Moore,,,1,5.6923076923076925,0.38461538461538464,5.3076923076923075,-0.028297212353578384,11.79076923076923,0,23,2011,2011,4,NOT EFFICIENT + NOT RUSHING
00-0007091,Matt Hasselbeck,6,187,3,5.0,1.4285714285714286,3.5714285714285716,-0.055712146130389134,11.518571428571429,0,19,2009,2011,4,NOT EFFICIENT + NOT RUSHING
00-0038579,Aidan O'Connell,4,135,1,1.5454545454545454,1.5454545454545454,0.0,-0.06031916335251614,11.492727272727274,0,28,2023,2023,4,NOT EFFICIENT + NOT RUSHING
