position,rank,player,team,note,note_source
WR,7,DeVonta Smith,PHI,,
WR,8,Davante Adams,LA,,
WR,9,George Pickens,DAL,,
WR,10,Garrett Wilson,NYJ,,
WR,11,Rashee Rice,KC,,
WR,12,Mike Evans,SF,,
WR,13,Drake London,ATL,,
WR,14,Christian Watson,GB,,
WR,15,Tee Higgins,CIN,,
WR,16,Parker Washington,JAX,,
WR,17,Emeka Egbuka,TB,,
WR,18,Jaylen Waddle,DEN,,
WR,19,Tetairoa McMillan,CAR,,
WR,20,Malik Nabers,NYG,,
WR,21,Jameson Williams,DET,,
WR,22,Terry McLaurin,WAS,,
WR,23,Jalen Coker,CAR,,
WR,24,Chris Godwin Jr.,TB,,
WR,25,Stefon Diggs,WAS,,
WR,26,Luther Burden III,CHI,,
WR,27,DK Metcalf,PIT,,
WR,28,Rome Odunze,CHI,,
WR,29,Quentin Johnston,LAC,,
WR,30,Matthew Golden,GB,,
WR,31,Michael Wilson,ARI,,
WR,32,Xavier Worthy,KC,,
WR,33,Deebo Samuel Sr.,SF,,
WR,34,Courtland Sutton,DEN,,
WR,35,Carnell Tate,TEN,,
WR,36,Ladd McConkey,LAC,,
WR,37,Josh Downs,IND,,
WR,38,Marvin Harrison Jr.,ARI,,
WR,39,Rashod Bateman,BAL,,
WR,40,Brian Thomas Jr.,JAX,,
WR,41,Khalil Shakir,BUF,,
WR,42,Romeo Doubs,NE,,
WR,43,Jordan Addison,MIN,,
WR,44,Devaughn Vele,NO,,
WR,45,Wan'Dale Robinson,TEN,,
WR,46,Malik Washington,MIA,,
WR,47,KC Concepcion,CLE,,
WR,48,Caleb Douglas,MIA,,
WR,49,Rashid Shaheed,SEA,,
WR,50,Tre Tucker,LV,,
WR,51,Dontayvion Wicks,PHI,,
WR,52,Denzel Boston,CLE,,
WR,53,Keenan Allen,IND,,
WR,54,Adonai Mitchell,NYJ,,
WR,55,Makai Lemon,PHI,,
WR,56,Pat Bryant,DEN,,
WR,57,Tre Harris,LAC,,
WR,58,Jalen Nailor,LV,,
WR,59,DeMario Douglas,NE,,
WR,60,Malachi Fields,NYG,,
WR,61,Ryan Flournoy,DAL,,
WR,62,Jerry Jeudy,CLE,,
WR,63,Kendrick Bourne,ARI,,
WR,64,Ted Hurst III,TB,,
WR,65,Xavier Hutchinson,HOU,,
WR,66,Kalif Raymond,CHI,,
WR,67,Keon Coleman,BUF,,
WR,68,Elic Ayomanor,TEN,,
WR,69,Germie Bernard,PIT,,
WR,70,Isaiah Williams,NYJ,,
WR,71,Roman Wilson,PIT,,
TE,1,Trey McBride,ARI,,
TE,2,Dalton Kincaid,BUF,,
TE,3,Tyler Warren,IND,,
TE,4,Sam LaPorta,DET,,
TE,5,George Kittle,SF,,
TE,6,Isaiah Likely,NYG,,
TE,7,Travis Kelce,KC,,
TE,8,Juwan Johnson,NO,,
TE,9,Mark Andrews,BAL,,
TE,10,Dalton Schultz,HOU,,
TE,11,Harold Fannin Jr.,CLE,,
TE,12,Jake Ferguson,DAL,,
TE,13,Colston Loveland,CHI,,
TE,14,Tucker Kraft,GB,,
TE,15,Kyle Pitts,ATL,,
TE,16,Hunter Henry,NE,,
TE,17,T.J. Hockenson,MIN,,
TE,18,Brenton Strange,JAX,,
TE,19,Michael Mayer,LV,,
TE,20,AJ Barner,SEA,,
TE,21,Pat Freiermuth,PIT,,
TE,22,Cade Otton,TB,,
TE,23,Mike Gesicki,CIN,,
TE,24,Evan Engram,DEN,,
TE,25,Greg Dulcich,MIA,,
TE,26,Kenyon Sadiq,NYJ,,
TE,27,Gunnar Helm,TEN,,
TE,28,Terrance Ferguson,LA,,
TE,29,Colby Parkinson,LA,,
TE,30,Mason Taylor,NYJ,,
TE,31,Tommy Tremble,CAR,,
TE,32,Theo Johnson,NYG,,
TE,33,Erick All,CIN,,
TE,34,Sam Roush,CHI,,
TE,35,Dallas Goedert,PHI,,
