seed,position,scoring,season,spearman,top12_overlap,regret@12,mae,mean_abs_rank_err
17,RB,ppr,2024,0.5526421922392823,0.4166666666666667,4.100000000000004,5.380216506452152,12.533333333333331
17,RB,ppr,2025,0.7552703363415992,0.5833333333333334,1.5750000000000004,4.139093554570118,9.5
17,TE,half_ppr,2019,0.0669506448820007,0.4166666666666667,7.408333333333334,4.677583487413146,10.88888888888889
17,TE,half_ppr,2020,0.3521915493342126,0.4166666666666667,4.508333333333336,4.231687589715886,9.444444444444445
17,TE,half_ppr,2021,0.4659330186828487,0.5,4.333333333333333,4.411990086765037,7.722222222222222
17,TE,half_ppr,2022,0.2316738975144719,0.4166666666666667,4.400000000000001,4.155121973257242,10.055555555555555
17,TE,half_ppr,2023,0.3456546486619571,0.5,3.041666666666666,3.1699305800239768,8.944444444444445
17,TE,half_ppr,2024,0.1947985210327354,0.6666666666666666,3.625,3.56654555469337,10.11111111111111
17,TE,half_ppr,2025,0.4686494491468322,0.5,3.741666666666669,3.2327833512136226,8.055555555555555
17,TE,ppr,2019,0.0790816933289545,0.3333333333333333,9.758333333333333,5.620121382302125,10.666666666666666
17,TE,ppr,2020,0.549047392039306,0.5,4.350000000000004,4.638471543765507,7.888888888888889
17,TE,ppr,2021,0.5508088484957555,0.5833333333333334,3.44166666666667,4.881883783600907,7.166666666666667
17,TE,ppr,2022,0.2043382570704623,0.4166666666666667,5.025000000000002,4.767012953977513,10.22222222222222
17,TE,ppr,2023,0.2759737712746256,0.5,3.675,3.712559171740655,9.666666666666666
17,TE,ppr,2024,0.2519320690465645,0.5,4.808333333333331,4.024088339143111,9.444444444444445
17,TE,ppr,2025,0.4410685777212159,0.5833333333333334,4.441666666666667,3.806435154282193,8.5
17,WR,half_ppr,2019,0.2168564822257635,0.1666666666666666,13.341666666666674,6.435074123307605,22.975
17,WR,half_ppr,2020,0.3036195308745154,0.1666666666666666,9.925,5.51341128832478,22.175
17,WR,half_ppr,2021,0.465187179246184,0.3333333333333333,9.816666666666668,5.70290526729746,18.2
17,WR,half_ppr,2022,0.4291308262502327,0.4166666666666667,5.891666666666666,5.2800268893145645,19.225
17,WR,half_ppr,2023,0.3981820851159388,0.3333333333333333,7.6916666666666655,5.251193163186367,19.425
17,WR,half_ppr,2024,0.3045262243514965,0.3333333333333333,8.31666666666667,5.238762926186668,21.425
17,WR,half_ppr,2025,0.2347081194911283,0.1666666666666666,9.433333333333332,5.251407995813013,23.275
17,WR,ppr,2019,0.2518807270346342,0.1666666666666666,14.316666666666672,7.373621638006995,22.1
17,WR,ppr,2020,0.3507538033148684,0.1666666666666666,10.824999999999998,6.285624758023589,21.475
17,WR,ppr,2021,0.4582197761926468,0.3333333333333333,10.700000000000005,6.372566783772511,18.225
17,WR,ppr,2022,0.3636086594886906,0.4166666666666667,6.591666666666664,6.076873145398065,20.2
17,WR,ppr,2023,0.5211344133933942,0.4166666666666667,7.325000000000003,5.963850169658601,17.275
17,WR,ppr,2024,0.3327667500795286,0.3333333333333333,8.733333333333333,5.888177060042781,21.175
17,WR,ppr,2025,0.293327989926495,0.1666666666666666,11.041666666666664,5.9645224718198735,22.45
101,QB,qb_4pt,2019,0.1338567478156331,0.3333333333333333,10.781666666666668,7.562451062886977,11.166666666666666
101,QB,qb_4pt,2020,0.6191398036333515,0.6666666666666666,3.0333333333333363,4.988093651183383,6.833333333333333
101,QB,qb_4pt,2021,0.403088803088803,0.5,6.461666666666666,6.402473181369711,9.055555555555555
101,QB,qb_4pt,2022,0.5687435821874921,0.5833333333333334,3.3883333333333354,4.903717630690617,6.833333333333333
101,QB,qb_4pt,2023,0.2149527231272003,0.3333333333333333,7.446666666666668,6.746127258782972,10.5
101,QB,qb_4pt,2024,0.686671101789398,0.6666666666666666,2.643333333333336,4.651864366088072,6.777777777777778
101,QB,qb_4pt,2025,0.5709597087990641,0.5,8.000000000000002,8.4022588403045,7.888888888888889
101,QB,qb_6pt,2019,0.148005148005148,0.3333333333333333,13.948333333333338,9.326480557448066,11.0
101,QB,qb_6pt,2020,0.6634041203284654,0.6666666666666666,2.538333333333332,6.086443111671932,6.444444444444445
101,QB,qb_6pt,2021,0.3806949806949807,0.5,8.62833333333333,8.320930416872548,9.38888888888889
101,QB,qb_6pt,2022,0.5672718332255337,0.5833333333333334,4.171666666666667,5.800080738961141,7.0
101,QB,qb_6pt,2023,0.2258854299584779,0.3333333333333333,9.78,8.172091670351017,10.555555555555555
101,QB,qb_6pt,2024,0.4999357121429939,0.5,5.544999999999999,6.12759511377804,8.38888888888889
101,QB,qb_6pt,2025,0.5651057131517737,0.5,8.66666666666667,9.703981529301002,7.944444444444445
101,RB,half_ppr,2019,0.5743920327359199,0.5,8.074999999999996,6.367912708966616,13.066666666666666
101,RB,half_ppr,2020,0.3973489714981972,0.5,7.391666666666673,5.273469828740068,15.366666666666667
101,RB,half_ppr,2021,0.5187029021461068,0.5,6.416666666666667,4.654096069472342,12.966666666666669
101,RB,half_ppr,2022,0.5765832354158299,0.25,7.866666666666667,5.0536486803889735,12.233333333333333
101,RB,half_ppr,2023,0.3961197171301551,0.4166666666666667,6.18333333333333,4.8675678012758485,14.4
101,RB,half_ppr,2024,0.5518008080264308,0.3333333333333333,4.325000000000003,4.92560100422275,12.5
101,RB,half_ppr,2025,0.7403259372441483,0.5833333333333334,1.7916666666666667,4.100477793686864,9.866666666666667
101,RB,ppr,2019,0.5200727402818927,0.4166666666666667,8.391666666666666,6.939952705914811,13.766666666666667
101,RB,ppr,2020,0.4627931539879767,0.5,7.425000000000007,5.64659850275169,14.433333333333334
101,RB,ppr,2021,0.6313961464146508,0.5,6.233333333333332,5.0249573018343,11.0
101,RB,ppr,2022,0.5804658725232551,0.4166666666666667,7.091666666666669,5.476222175825129,12.0
101,RB,ppr,2023,0.3732366327899185,0.4166666666666667,6.141666666666661,5.119269997782316,14.966666666666669
101,RB,ppr,2024,0.5605624891712041,0.4166666666666667,4.100000000000004,5.363397229774779,12.366666666666667
101,RB,ppr,2025,0.7419492342314429,0.5833333333333334,1.9416666666666675,4.301167283915474,9.633333333333333
101,TE,half_ppr,2019,0.1014306986590771,0.4166666666666667,7.208333333333333,4.465887623864017,11.166666666666666
101,TE,half_ppr,2020,0.4976817560306366,0.5,4.275000000000005,4.106814813624292,8.277777777777779
101,TE,half_ppr,2021,0.4266643910373336,0.5,4.233333333333334,4.500746395517475,8.11111111111111
