seed,position,scoring,season,source,captured_top12,captured_top24_in_top24,set_overlap_topN,pts_top12,regret_per_starter,median_true_finish_of_top12,busts_in_top12,spearman_shared,n_shared,variant
101,TE,ppr,2024,consensus,7.0,12.0,24.0,81.3,4.2749999999999995,11.5,4.0,0.42750881798856444,48,consensus
101,TE,ppr,2025,consensus,6.0,16.0,25.0,116.39999999999999,3.916666666666668,14.5,2.0,0.6009243369433324,44,consensus
101,WR,ppr,2021,consensus,2.0,9.0,19.0,205.54000000000002,10.905000000000001,31.0,0.0,0.12598587786953372,49,consensus
101,WR,ppr,2022,consensus,7.0,11.0,21.0,273.2,3.474999999999999,6.5,1.0,0.5588039957675125,47,consensus
101,WR,ppr,2023,consensus,5.0,10.0,18.0,225.20000000000005,6.61666666666667,18.0,0.0,0.31230243016225107,42,consensus
101,WR,ppr,2024,consensus,2.0,11.0,18.0,134.0,13.299999999999997,33.0,4.0,0.32045909336842093,43,consensus
101,WR,ppr,2025,consensus,2.0,9.0,19.0,143.7,10.291666666666671,26.5,2.0,0.13829239357254444,48,consensus
17,QB,qb_4pt,2021,model,5.0,18.0,34.0,265.78,5.3350000000000035,15.0,0.0,0.7313662557512078,48,weeks1_6
17,QB,qb_4pt,2022,model,8.0,17.0,33.0,238.94,3.5066666666666655,9.5,1.0,0.7110782412000903,45,weeks1_6
17,QB,qb_4pt,2023,model,5.0,18.0,32.0,161.1,6.44666666666667,17.5,2.0,0.5840720877777904,45,weeks1_6
17,QB,qb_4pt,2024,model,8.0,20.0,32.0,230.16000000000003,2.8683333333333345,9.0,0.0,0.8529250659536506,50,weeks1_6
17,QB,qb_4pt,2025,model,7.0,18.0,32.0,262.81999999999994,5.100000000000004,9.5,0.0,0.7247474579114044,44,weeks1_6
17,TE,ppr,2021,model,7.0,14.0,27.0,149.4,4.833333333333336,9.5,2.0,0.48011633163803114,48,weeks1_6
17,TE,ppr,2022,model,4.0,13.0,23.0,93.29999999999998,5.916666666666669,24.5,6.0,0.47853974178170516,47,weeks1_6
17,TE,ppr,2023,model,3.0,11.0,25.0,58.099999999999994,5.583333333333335,27.0,7.0,0.20110060057732956,46,weeks1_6
17,TE,ppr,2024,model,6.0,11.0,24.0,71.0,5.133333333333333,13.5,5.0,0.38192241851937564,48,weeks1_6
