seed,position,scoring,season,source,captured_top12,captured_top24_in_top24,set_overlap_topN,pts_top12,regret_per_starter,median_true_finish_of_top12,busts_in_top12,spearman_shared,n_shared
17,TE,half_ppr,2024,consensus,6.0,12.0,24.0,61.300000000000004,3.825000000000001,12.0,5.0,0.4030989677849928,50
17,TE,half_ppr,2024,prior_ppg,4.0,12.0,19.0,44.800000000000004,5.200000000000001,19.0,7.0,0.12945801328336412,47
17,TE,half_ppr,2025,model,4.0,12.0,22.0,84.89999999999999,4.016666666666667,15.5,5.0,0.38309333234556237,46
17,TE,half_ppr,2025,consensus,5.0,14.0,25.0,92.89999999999999,3.35,15.0,4.0,0.6268799983836475,46
17,TE,half_ppr,2025,prior_ppg,6.0,15.0,25.0,93.5,3.2999999999999994,13.0,3.0,0.5481923340316137,41
17,TE,ppr,2021,model,7.0,14.0,22.0,153.6,4.483333333333337,9.5,1.0,0.4447740735021427,53
17,TE,ppr,2021,consensus,8.0,14.0,26.0,154.70000000000002,4.391666666666668,8.5,2.0,0.595454140912807,45
17,TE,ppr,2021,prior_ppg,7.0,13.0,23.0,147.4,5.000000000000003,9.0,2.0,0.3502292184505578,43
17,TE,ppr,2022,model,4.0,13.0,23.0,85.49999999999999,6.566666666666669,33.5,7.0,0.38875501533107115,46
17,TE,ppr,2022,consensus,6.0,14.0,21.0,107.5,4.733333333333334,12.0,4.0,0.4300658713866796,45
17,TE,ppr,2022,prior_ppg,5.0,12.0,21.0,106.50000000000001,4.816666666666666,14.5,4.0,0.2969079562664442,44
17,TE,ppr,2023,model,3.0,11.0,22.0,64.69999999999999,5.033333333333335,24.0,6.0,0.2303573344063117,45
17,TE,ppr,2023,consensus,2.0,13.0,24.0,61.3,5.316666666666667,24.0,6.0,0.3074307826039278,45
17,TE,ppr,2023,prior_ppg,3.0,10.0,22.0,62.99999999999999,5.175000000000002,23.5,6.0,0.19071141140219752,41
17,TE,ppr,2024,model,7.0,13.0,24.0,77.1,4.625,11.5,4.0,0.4845454696635503,50
17,TE,ppr,2024,consensus,7.0,12.0,24.0,81.3,4.2749999999999995,11.5,4.0,0.432402274442682,50
17,TE,ppr,2024,prior_ppg,5.0,12.0,19.0,61.800000000000004,5.899999999999999,19.0,6.0,0.17866177029593044,47
17,TE,ppr,2025,model,5.0,13.0,24.0,108.19999999999999,4.641666666666668,14.5,2.0,0.3824640150192994,46
17,TE,ppr,2025,consensus,5.0,15.0,26.0,116.39999999999999,3.9583333333333344,15.5,2.0,0.6282808125317033,46
17,TE,ppr,2025,prior_ppg,5.0,14.0,26.0,116.0,3.991666666666667,13.5,2.0,0.5348175683810684,41
17,WR,half_ppr,2021,model,4.0,9.0,21.0,180.60000000000002,9.308333333333332,33.5,1.0,0.23188881447016454,48
17,WR,half_ppr,2021,consensus,3.0,8.0,19.0,168.04,10.355000000000002,35.0,0.0,0.09623114267942191,48
17,WR,half_ppr,2021,prior_ppg,4.0,8.0,19.0,183.14,9.09666666666667,29.5,1.0,0.031123457712891944,47
17,WR,half_ppr,2022,model,5.0,10.0,18.0,196.60000000000002,5.933333333333333,18.5,2.0,0.37531899279301123,49
17,WR,half_ppr,2022,consensus,7.0,10.0,20.0,228.2,3.300000000000002,6.5,1.0,0.5702256059935157,49
17,WR,half_ppr,2022,prior_ppg,5.0,8.0,17.0,195.2,6.050000000000002,18.5,1.0,0.16163536529302985,48
17,WR,half_ppr,2023,model,5.0,12.0,20.0,174.5,6.958333333333333,22.0,1.0,0.4336696417528598,44
17,WR,half_ppr,2023,consensus,4.0,10.0,18.0,184.20000000000002,6.149999999999999,18.0,0.0,0.37971659638923355,44
17,WR,half_ppr,2023,prior_ppg,4.0,9.0,20.0,162.89999999999998,7.925000000000002,26.5,1.0,0.33796469723202216,44
17,WR,half_ppr,2024,model,4.0,10.0,16.0,137.1,10.125000000000002,34.5,2.0,0.27920152903333334,45
17,WR,half_ppr,2024,consensus,2.0,11.0,17.0,109.0,12.466666666666669,35.5,4.0,0.3168192904958235,45
17,WR,half_ppr,2024,prior_ppg,3.0,11.0,16.0,132.0,10.550000000000002,34.0,3.0,0.2975156695033558,43
17,WR,half_ppr,2025,model,1.0,7.0,17.0,105.80000000000003,10.099999999999998,36.0,4.0,0.22502592222368265,50
17,WR,half_ppr,2025,consensus,1.0,7.0,18.0,113.69999999999999,9.441666666666668,30.5,3.0,0.3056257666425455,50
17,WR,half_ppr,2025,prior_ppg,1.0,7.0,14.0,96.19999999999999,10.9,52.0,4.0,0.040166707755907874,47
17,WR,ppr,2021,model,5.0,10.0,21.0,216.60000000000002,9.983333333333334,28.5,0.0,0.2545415462583469,48
17,WR,ppr,2021,consensus,2.0,9.0,19.0,205.54000000000002,10.905000000000001,31.0,0.0,0.11420970168152411,48
17,WR,ppr,2021,prior_ppg,4.0,9.0,19.0,218.64,9.813333333333338,28.5,1.0,0.05895115489864361,47
17,WR,ppr,2022,model,5.0,11.0,19.0,248.10000000000002,5.566666666666663,16.5,1.0,0.3990507485244159,49
17,WR,ppr,2022,consensus,7.0,11.0,21.0,273.2,3.474999999999999,6.5,1.0,0.5725732635497407,49
17,WR,ppr,2022,prior_ppg,5.0,9.0,18.0,234.7,6.683333333333333,16.5,1.0,0.17721794837636864,48
17,WR,ppr,2023,model,5.0,10.0,20.0,202.20000000000002,8.533333333333339,26.0,2.0,0.4003668363826814,44
17,WR,ppr,2023,consensus,5.0,10.0,18.0,225.20000000000005,6.61666666666667,18.0,0.0,0.3956417037355721,44
17,WR,ppr,2023,prior_ppg,4.0,9.0,21.0,200.89999999999998,8.641666666666675,23.5,1.0,0.34923666967888645,44
17,WR,ppr,2024,model,4.0,10.0,17.0,175.59999999999997,9.833333333333334,25.5,1.0,0.2971210231100362,45
17,WR,ppr,2024,consensus,2.0,11.0,18.0,134.0,13.299999999999997,33.0,4.0,0.32525199359074247,45
17,WR,ppr,2024,prior_ppg,3.0,11.0,17.0,157.5,11.341666666666663,32.0,2.0,0.3032545504379383,43
17,WR,ppr,2025,model,1.0,8.0,16.0,139.2,10.825000000000003,36.0,2.0,0.15601790030782384,49
17,WR,ppr,2025,consensus,2.0,7.0,18.0,143.7,10.450000000000003,29.5,2.0,0.23106577774646947,49
17,WR,ppr,2025,prior_ppg,1.0,7.0,13.0,122.19999999999999,12.241666666666669,46.5,2.0,-0.04091835967572239,46
101,QB,qb_4pt,2021,model,6.0,17.0,34.0,256.9200000000001,6.073333333333328,11.0,1.0,0.6777316634589851,47
101,QB,qb_4pt,2021,consensus,7.0,16.0,33.0,265.66,5.344999999999999,8.5,1.0,0.638395904052868,45
101,QB,qb_4pt,2021,prior_ppg,6.0,14.0,25.0,237.7,7.675000000000002,16.0,2.0,0.17661614647636276,42
101,QB,qb_4pt,2022,model,7.0,19.0,33.0,252.16000000000003,2.4049999999999963,9.5,0.0,0.7866158919745645,46
101,QB,qb_4pt,2022,consensus,7.0,17.0,31.0,223.82000000000002,4.766666666666663,10.0,1.0,0.7052377704803849,46
101,QB,qb_4pt,2022,prior_ppg,8.0,14.0,26.0,218.84000000000003,5.181666666666662,9.5,2.0,0.38586568980947666,45
101,QB,qb_4pt,2023,model,4.0,17.0,32.0,133.52,8.745000000000003,20.5,3.0,0.516866659054076,44
101,QB,qb_4pt,2023,consensus,5.0,19.0,32.0,162.54000000000002,6.326666666666668,17.5,2.0,0.5632475754155316,44
101,QB,qb_4pt,2023,prior_ppg,3.0,15.0,26.0,138.95999999999998,8.291666666666671,20.5,3.0,0.15260846551751733,41
101,QB,qb_4pt,2024,model,8.0,19.0,33.0,232.86000000000004,2.643333333333333,8.5,0.0,0.8594164236973014,50
101,QB,qb_4pt,2024,consensus,8.0,19.0,33.0,221.20000000000005,3.6149999999999998,10.5,0.0,0.8097477015678513,50
101,QB,qb_4pt,2024,prior_ppg,6.0,18.0,24.0,176.04000000000002,7.378333333333335,13.0,2.0,0.42821213296794053,45
