seed,position,scoring,season,source,n,spearman,kendall,ndcg@12,top12_overlap,regret@12,mae,rmse
17,QB,qb_6pt,2022,consensus,35.0,0.4325838857145828,0.3268755174472806,0.8260902318002683,0.5833333333333334,6.050000000000002,37.428,39.02689168106672
17,QB,qb_6pt,2022,prior_ppg,35.0,0.4495342257960155,0.3605740244006085,0.7775923916066839,0.6666666666666666,6.298333333333332,8.021814373488322,9.753571447099668
17,QB,qb_6pt,2023,model,37.0,0.4564725596864203,0.3280359852327296,0.5606988692537735,0.4166666666666667,8.995000000000003,7.516946833299345,10.130317882160137
17,QB,qb_6pt,2023,consensus,37.0,0.4650358802433308,0.3188814926215837,0.6278679619874166,0.4166666666666667,8.008333333333335,34.01513513513514,36.57623331130809
17,QB,qb_6pt,2023,prior_ppg,37.0,0.1236924080442619,0.0839161822688378,0.5288032122289535,0.25,9.973333333333338,8.892111016919838,10.945222173535264
17,QB,qb_6pt,2024,model,33.0,0.6666668997771875,0.4800078369266191,0.8237110144794911,0.5833333333333334,3.936666666666667,5.238918694411468,6.734828940238299
17,QB,qb_6pt,2024,consensus,33.0,0.615655007044613,0.4647694928972026,0.7997518239712694,0.5833333333333334,5.226666666666664,34.85575757575758,36.6522908457633
17,QB,qb_6pt,2024,prior_ppg,33.0,0.4957352460962328,0.3428627406618708,0.7777619037571855,0.5,5.724999999999999,6.7265556954433965,8.566684494098327
17,QB,qb_6pt,2025,model,40.0,0.3018469846198665,0.2090766385129249,0.6597429971790459,0.4166666666666667,10.069999999999997,10.362858305106704,12.909856975429872
17,QB,qb_6pt,2025,consensus,40.0,0.6185927946077878,0.4775399155060378,0.8008844795964238,0.5,7.50833333333333,38.122,39.85398248607032
17,QB,qb_6pt,2025,prior_ppg,40.0,0.3197866021097902,0.229636680680499,0.7075500422077317,0.4166666666666667,10.354999999999992,8.755529881882824,10.462431574042268
17,RB,half_ppr,2021,model,59.0,0.5390046402399754,0.37570073548378,0.685017948083687,0.5,6.25,4.578569251578294,5.7426184811288685
17,RB,half_ppr,2021,consensus,59.0,0.6181393382077384,0.4379261697982811,0.7250924633264516,0.4166666666666667,5.775000000000001,43.9084745762712,48.67004786644486
17,RB,half_ppr,2021,prior_ppg,59.0,0.6192502057817224,0.4402742993950547,0.7832507368663216,0.5,4.36666666666667,5.307832177238958,6.424776039489806
17,RB,half_ppr,2022,model,61.0,0.4953507729169942,0.3178733484903508,0.6504610766070413,0.3333333333333333,6.899999999999999,5.06791904357262,6.378224331143267
17,RB,half_ppr,2022,consensus,61.0,0.5225983721749117,0.3738717622140396,0.6650930459507245,0.3333333333333333,5.958333333333333,47.98852459016393,53.360384703801614
17,RB,half_ppr,2022,prior_ppg,61.0,0.4934526101092848,0.3404755536105512,0.6064060481470352,0.25,6.849999999999997,6.105074548696775,7.101508109158701
17,RB,half_ppr,2023,model,59.0,0.4579319550510255,0.3247016803218966,0.6100354071860143,0.4166666666666667,5.833333333333331,4.6644033031891885,6.016770923609045
17,RB,half_ppr,2023,consensus,59.0,0.5405328646744348,0.3977742907754632,0.816737327571256,0.5,3.6083333333333294,42.79830508474576,46.94476198646769
17,RB,half_ppr,2023,prior_ppg,59.0,0.297936567076504,0.2056640407120543,0.8079532063817462,0.5,3.4833333333333294,5.875169466348429,7.0794304186362735
17,RB,half_ppr,2024,model,57.0,0.4610822126079945,0.3400253617514043,0.6123744165962585,0.3333333333333333,4.808333333333335,5.212359094779141,6.965715270790754
17,RB,half_ppr,2024,consensus,57.0,0.4928128105373651,0.3538271292025683,0.5487319427564505,0.1666666666666666,6.558333333333333,41.57017543859649,45.28999153602629
17,RB,half_ppr,2024,prior_ppg,57.0,0.4903819679993643,0.3362612433556323,0.5610983284498398,0.3333333333333333,5.650000000000001,5.410977925583188,7.0433690182643645
17,RB,half_ppr,2025,model,63.0,0.6064314133707835,0.4210196021563435,0.8661924509419735,0.6666666666666666,1.6166666666666671,3.674208193288615,4.861832366810456
17,RB,half_ppr,2025,consensus,63.0,0.7893759544200397,0.5866994178652419,0.8117234108215181,0.4166666666666667,2.741666666666665,44.406349206349205,49.13629893485948
17,RB,half_ppr,2025,prior_ppg,63.0,0.5689369228630815,0.4001165641271791,0.7303125685146301,0.4166666666666667,4.466666666666664,5.779481808263319,6.867866753515569
17,RB,ppr,2021,model,60.0,0.5767862998899392,0.4022792207268124,0.6948047868877492,0.5,6.675,4.964773141753275,6.281173328718191
17,RB,ppr,2021,consensus,60.0,0.6226578666137259,0.4465981179255289,0.7338487463398923,0.5,6.283333333333331,45.83500000000001,50.5620559313009
17,RB,ppr,2021,prior_ppg,60.0,0.6256325682133895,0.4420525900077119,0.7900446220840889,0.5833333333333334,4.75,5.129812752062752,6.304900868746143
17,RB,ppr,2022,model,59.0,0.5645253610843998,0.3956598370563559,0.6761256560677088,0.4166666666666667,7.091666666666669,5.497515132610449,6.766533333248634
17,RB,ppr,2022,consensus,59.0,0.4923774354898527,0.3545675691128174,0.6771578261864225,0.3333333333333333,6.358333333333337,47.96949152542373,52.84283701438458
17,RB,ppr,2022,prior_ppg,59.0,0.4456105749681521,0.3094565190704329,0.6105794267210213,0.25,7.375,6.344992330008531,7.431979793159405
17,RB,ppr,2023,model,59.0,0.5146620241447329,0.364292705043051,0.6565916286638638,0.5,5.291666666666664,4.72917568707318,6.030196345542825
17,RB,ppr,2023,consensus,59.0,0.6131191070245949,0.4468185605544217,0.8514787591923759,0.6666666666666666,2.8999999999999937,43.86271186440678,47.809563967679736
